Date,Close
4/21/2017,48.37
4/22/2017,48.61
4/23/2017,48.96
4/24/2017,50.12
4/25/2017,50.31
4/26/2017,53.42
4/27/2017,63.67
4/28/2017,73.14
4/29/2017,70.4
4/30/2017,80.87
5/1/2017,79.35
5/2/2017,77.55
5/3/2017,81.29
5/4/2017,95.97
5/5/2017,91.93
5/6/2017,95.84
5/7/2017,93.82
5/8/2017,89.25
5/9/2017,86.58
5/10/2017,88.36
5/11/2017,88.3
5/12/2017,85.17
5/13/2017,88.42
5/14/2017,89.39
5/15/2017,91
5/16/2017,87.98
5/17/2017,86.88
5/18/2017,96.2
5/19/2017,125.14
5/20/2017,123.63
5/21/2017,148.78
5/22/2017,160.1
5/23/2017,169.95
5/24/2017,196.06
5/25/2017,181.51
5/26/2017,163.8
5/27/2017,159.91
5/28/2017,175.48
5/29/2017,194.82
5/30/2017,228.69
5/31/2017,229.14
6/1/2017,221.91
6/2/2017,222.04
6/3/2017,224.95
6/4/2017,245.5
6/5/2017,248
6/6/2017,264.22
6/7/2017,255.68
6/8/2017,258.64
6/9/2017,279.38
6/10/2017,340.2
6/11/2017,343.01
6/12/2017,397.37
6/13/2017,388
6/14/2017,341.7
6/15/2017,343.71
6/16/2017,354.26
6/17/2017,368.98
6/18/2017,351.85
6/19/2017,358.71
6/20/2017,350.94
6/21/2017,325.41
6/22/2017,320.02
6/23/2017,326.99
6/24/2017,304.5
6/25/2017,278.49
6/26/2017,252.99
6/27/2017,287.23
6/28/2017,315.32
6/29/2017,292.95
6/30/2017,280.04
7/1/2017,263.12
7/2/2017,285
7/3/2017,276.37
7/4/2017,269.2
7/5/2017,266.27
7/6/2017,266.01
7/7/2017,241.28
7/8/2017,246.64
7/9/2017,238.81
7/10/2017,202.86
7/11/2017,190.57
7/12/2017,224.04
7/13/2017,205
7/14/2017,197.23
7/15/2017,167.72
7/16/2017,155.68
7/17/2017,190.87
7/18/2017,227.01
7/19/2017,194.74
7/20/2017,226.06
7/21/2017,216.6
7/22/2017,230.69
7/23/2017,228.31
7/24/2017,225.96
7/25/2017,203.78
7/26/2017,203.23
7/27/2017,202.94
7/28/2017,190.72
7/29/2017,205.9
7/30/2017,196.95
7/31/2017,200.82
8/1/2017,225.73
8/2/2017,217.92
8/3/2017,224
8/4/2017,220.72
8/5/2017,251.85
8/6/2017,263.96
8/7/2017,269.9
8/8/2017,295.95
8/9/2017,295.26
8/10/2017,300.51
